Time [d] 	u [m/s]	v [m/s]	Tair [?C]	sol [W m-2]	vap [mbar]	Longwave [W m-2]
79832	-1.432	1.8256	20.73	246.93	15.7	336.57
79833	-2.1989	1.7647	20.5	254.56	15.04	335.35
79834	-1.4646	1.2637	20.64	258.72	15.23	338.4
79835	-0.7255	0.9767	21.74	264.22	16.36	347.69
79836	1.0726	0.2249	19.47	90.65	16.97	381.6
79837	1.221	0.254	17.97	56.76	16.15	368.67
79838	1.1893	0.2907	19.8	199.26	16.86	373.76
79839	1.0319	0.3405	20.02	158.48	17.79	375.7
79840	1.0466	1.3576	20.8	188.83	17.71	371.22
79841	-0.2237	0.7522	21.67	240.67	17.35	348.77
79842	0.3295	-0.6891	21.85	254.94	17.19	350.88
79843	1.2361	-0.2221	20.96	196.12	18.12	380.41
79844	1.6248	0.276	20.53	200.1	18.22	378.63
79845	0.1535	0.9464	22.14	224.29	18.41	375.21
79846	-0.7518	0.4229	22.27	238.02	17.55	355.61
79847	0.4816	-0.0905	21.49	204	18.08	373.24
79848	0.7836	0.5252	22.01	232.8	19.11	380.05
79849	0.5394	0.2993	21.5	191.82	18.9	381.74
79850	0.0587	0.4367	21.53	171.69	18.28	375.61
79851	-0.7204	1.1764	21.28	211.97	16.9	361.07
79852	0.4453	0.9467	21.56	254.89	17.14	354.08
79853	1.1198	0.4794	22.27	251.5	17.73	366.2
79854	1.2905	0.2815	22.19	222.37	18.21	378.1
79855	0.1297	1.2997	22.25	258.02	17.41	355.03
79856	-0.5104	0.7504	22.37	269.6	16.7	348.49
79857	-0.0247	1.6034	22.58	229.8	17.28	371.21
79858	-0.095	0.4368	20.96	132.35	17.11	380.07
79859	-1.4954	0.4221	22.09	213.32	17.78	376.92
79860	-0.1741	0.4326	21.03	148.39	18.28	386.03
79861	-1.3423	0.9159	22.72	216.23	18.64	385.91
79862	-0.4427	0.5166	22.15	171.72	18.93	384.66
79863	-1.4684	1.9339	23.8	246.13	18.92	374.23
79864	1.9677	0.012	19.79	158.37	17.99	381.48
79865	0.6617	1.4332	20.1	172.06	17.19	383.92
79866	0.7097	-0.0182	20.16	135.6	17.42	383.06
79867	1.014	0.7087	20.41	231.17	18.15	375.89
79868	0.9919	-0.2246	20.7	205.12	18.75	378.35
79869	0.3212	-1.025	19.35	167.23	17.87	377.8
79870	0.7696	-0.2626	20.21	179.27	18.58	374.69
79871	-0.9912	0.4585	20.85	190.07	18.57	381.61
79872	-0.1181	-0.4872	23.27	227.55	19.65	380.66
79873	0.8901	-0.0536	19.62	125.16	18.27	379.33
79874	-0.3738	-0.6497	21.02	194.8	19.66	376.81
79875	-1.9241	-0.0425	21.84	152.03	18.98	376.93
79876	-1.6361	0.2654	21.06	124.47	19.06	385.38
79877	-0.6305	1.9248	22.06	266.45	17.05	372.1
79878	-0.5537	0.6652	20.11	106.78	17.29	378.13
79879	-0.2556	1.0867	20.36	109.94	16.88	382.02
79880	-0.5104	0.8993	19.69	189.94	17.12	373.69
79881	-0.944	0.4176	21.87	245.03	18.34	374.92
79882	-0.0482	0.7952	19.3	147.37	18.22	376
79883	-0.0731	0.8632	19.62	119.82	17.04	373.19
79884	0.1254	-0.4607	22.03	244.52	19.07	372.97
79885	0.7231	-0.4246	21.17	133.3	19.38	383.13
79886	-0.3796	-0.1855	21.61	223.86	19.98	374.65
79887	-0.2379	-0.5167	21.83	211.56	19.8	374.74
79888	0.0338	-0.4296	20.3	146.43	18.1	377.02
79889	-0.3478	0.3351	21.66	217.31	19.63	379.14
79890	0.1277	0.1383	20.43	111.05	19.54	381.16
79891	1.2105	0.0702	19.67	175.6	18.18	370.05
79892	-0.1636	-0.3427	20.22	169.86	18.81	376.21
79893	-0.4717	0.2131	20.55	204.55	19.11	376.04
79894	0.0849	0.2798	19.21	166.08	18.47	373.47
79895	0.0052	-0.5547	20.08	203.32	18.83	375.07
79896	-0.0482	0.7402	19.98	204.61	18.62	366.26
79897	-0.854	-0.1408	22.13	242.23	19.16	371.15
79898	-0.3314	-0.3448	19.31	165.97	18.33	369.78
79899	-1.5531	0.5182	19.21	189.67	17.55	371.39
79900	-0.0775	-0.9175	18.57	140.37	17.77	369.65
79901	-0.7792	-0.6502	18.71	144.64	17.89	372.1
79902	-1.3567	-0.1971	21.83	248.32	19.47	378.86
79903	0.8166	-0.3893	20.28	167.01	19.55	381.09
79904	1.7174	-0.6553	21.87	264.58	18.98	370.77
79905	-0.0846	-0.3806	21.89	240.02	18.85	374.49
79906	1.0759	-0.8321	19.14	133.98	18.93	372.75
79907	0.2599	-0.6404	23.21	267.68	20.2	371.17
79908	0.5136	-0.6409	19.98	183.36	18.42	372.14
79909	-0.7166	-1.3742	24.36	290.13	20.56	371.47
79910	0.0383	0.2086	20.7	142.19	19.75	372.93
79911	-1.4048	0.735	20.64	170.89	19.81	371.73
79912	-1.2166	-0.005	22.23	213.33	20.76	376.49
79913	-2.0508	0.566	23.81	223.51	21.53	377.88
79914	-0.1028	0.5844	23.81	183.7	21.31	380.12
79915	1.6605	0.6151	22.42	193.36	20.65	376.68
79916	2.0397	-0.3474	20.81	188.81	20.02	372.81
79917	0.7998	-0.6448	20.78	183.31	20.22	373.61
79918	1.6049	-0.8142	19.66	164.82	19.26	369.63
79919	1.2087	-0.5516	21.24	200.44	19.08	364.46
79920	1.7738	0.8307	19.02	119.41	18.71	369.89
79921	0.6933	-0.4632	20.72	178.55	19.78	373.79
79922	0.7171	-0.825	20.64	175.16	19.85	375.83
79923	0.8681	0.4889	21.96	272.44	20.01	366.31
79924	2.1247	-0.0447	19.17	156.54	18.41	366.9
79925	1.2923	0.0347	21.91	248.67	19.83	372.96
79926	0.3014	-1.2158	19.72	135.87	19.52	372.13
79927	-0.2397	-0.0098	19.99	182.95	18.84	375.18
79928	0.2734	-1.0004	20.78	158.73	19.96	377.73
79929	-0.658	-0.043	21.4	229.41	19.99	366.26
79930	1.5944	-0.039	20.41	178.45	19.53	373.67
79931	0.4496	-0.0208	20.11	190.58	19.41	362.02
79932	0.3182	-1.2995	21.48	197.24	20.37	370.24
79933	-0.0739	-1.6544	21.73	262.39	20.48	363.89
79934	1.1383	-0.0006	19.69	140.02	19.32	372.96
79935	-0.2825	-0.7671	20.05	167.66	19.29	368.62
79936	-0.1445	-0.0754	21.2	214.06	19.89	368.68
79937	-0.8698	-0.6946	22.02	249.76	20.61	371.23
79938	0.3782	-0.3579	20.65	173.15	20.04	370.55
79939	-0.3718	-0.8048	21.61	235.16	19.99	374.84
79940	0.8098	0.082	20.3	142.6	19.81	366.46
79941	-1.0815	-0.1675	20.81	220.26	19.58	365.46
79942	-1.0274	-1.0796	20.86	173.68	20.04	368.81
79943	-0.1009	-0.4377	20.82	189.48	20.14	370.68
79944	0.0502	0.6784	21.59	234.25	20.81	374.99
79945	1.3933	-0.8498	20.59	160.57	20.59	372.92
79946	1.154	-0.7112	21.38	229.65	20.15	364.51
79947	-0.3984	-0.1509	20.42	146.56	20	372.08
79948	-0.799	-0.6241	21.06	222.37	20.51	371.97
79949	0.5241	-0.6102	22.16	231.66	20.99	374.07
79950	0.3677	-0.1416	21.7	250.78	20.62	370.03
79951	-0.1111	0.5523	20.31	143.79	20.32	370.71
79952	-0.5107	-1.2179	21.79	249.98	21.01	374.11
79953	-0.8529	-1.0692	20.81	207.8	20.52	362.91
79954	-1.6624	-1.4249	21.63	228.19	20	363.23
79955	-1.5514	-0.6947	22.82	243.18	21.13	371.43
79956	0.4001	0.3539	20.14	141.85	19.97	369.17
79957	0.1817	0.9443	19.58	124.24	19.55	371.2
79958	0.4202	-0.0258	20.92	215.56	20.52	372.74
79959	2.071	-0.0834	20.52	145.41	20.52	371.41
79960	0.4022	-0.3956	21.07	172.33	20.49	373.14
79961	0.7559	-0.0923	20.35	134.41	20.39	369.75
79962	-0.0711	-0.3185	21.43	213.68	20.53	371.83
79963	1.1627	0.0435	19.75	104.26	19.9	371.36
79964	-0.1257	-0.2013	22.09	271.86	21.04	366.42
79965	0.273	-1.5997	20.83	137.37	20.87	373.2
79966	-0.298	-0.9469	20.91	175.98	20.13	364.8
79967	0.5036	-1.0805	20.76	187.2	20.34	372.18
79968	0.4528	-0.8307	21.07	179.44	20.49	369.7
79969	-0.4395	-0.4268	21.67	177.99	21.23	365.77
79970	-1.3066	-0.1799	21.31	207.57	20.73	368.17
79971	-1.7507	-0.7709	21.6	192.99	20.62	371.78
79972	0.133	-0.3205	20.82	183.31	20.72	368.57
79973	-0.3406	0.2134	20.04	109.12	20.14	373.9
79974	-0.055	-0.9118	20.5	192.82	20.6	371.87
79975	1.2468	-0.6884	20.16	141.78	20.28	373.15
79976	1.4169	-0.7938	22.07	286.87	20.91	360.68
79977	1.9867	0.3485	19.54	94.19	19.67	372.12
79978	0.831	-0.9867	20.33	196.49	20.16	369.99
79979	2.2924	-0.4533	19.95	137.69	19.78	369.31
79980	1.9151	-1.4882	19.29	174.04	18.52	364.97
79981	1.1322	-1.3056	19.78	178.68	18.5	367.29
79982	1.1494	-0.4535	19.15	138.31	18.65	372.7
79983	1.2677	-1.0206	20.97	239.45	19.6	367.05
79984	1.3181	-1.6293	19.68	176.07	18.8	362.87
79985	2.1881	-0.9268	18.75	82.14	18.17	366.08
79986	2.0054	-0.8731	19.35	130.62	17.97	371.18
79987	1.8252	-1.0747	21.12	165.06	18.2	365.76
79988	1.6438	-0.4439	20.11	149.32	18.18	353.99
79989	2.3974	-0.3651	18.92	147.34	18.04	360.33
79990	1.3806	0.007	19.23	48.5	17.87	362.41
79991	1.4744	-0.3946	19.95	145.56	18.03	362.84
79992	1.779	-0.3484	19.2	85.49	17.78	355.6
79993	2.558	-1.1355	17.99	161.71	16.63	348.16
79994	2.0679	-1.2718	20.08	254.92	15.83	337.38
79995	2.2218	-0.9768	19.23	128.1	15.58	344.23
79996	1.6062	-0.6981	21.3	285.7	17.15	345.59
79997	2.285	-1.0926	21.52	280.16	17.86	355.64
79998	1.8291	-1.1837	22.31	273.8	18.75	358.39
79999	1.8109	-0.9352	22.11	269.4	18.3	355.13
80000	1.6646	-0.6897	21.52	257.11	18.28	340.64
80001	2.1148	-0.4784	20.07	226.6	17.69	347.67
80002	2.3926	-1.2126	20.82	109.18	17.49	360.45
80003	1.8646	-0.2266	19.11	13.35	17.62	366.51
80004	1.8016	-0.2388	19.55	108.24	17.85	355.31
80005	1.6516	-0.4661	19.33	108.36	16.87	350.9
80006	1.3934	-0.629	21.61	280.29	17.88	358.26
80007	1.2787	0.1621	21.29	205.96	19.07	351.72
80008	1.711	-0.223	21.35	213.51	19.48	366.51
80009	0.619	0.1909	20.91	172.09	20.25	363.94
80010	-0.3831	-0.6373	21.36	162.44	20.04	373.4
80011	0.5337	-1.1606	23.1	236.84	20.56	370.71
80012	0.3185	-0.2485	22.33	260.11	20.38	362.76
80013	1.1393	-0.3713	21.71	169.3	20.05	369.96
80014	1.0669	-0.2414	21.49	198.13	20.12	367.67
80015	0.8152	-0.8038	22	204.62	20.67	369.15
80016	0.1583	0.5752	21.86	212.64	21.1	366.74
80017	0.0705	0.1335	21.83	199.69	21.02	366.6
80018	0.2363	-1.1094	21.52	197.16	20.91	363.69
80019	0.6259	-0.6376	21.27	178.02	21.06	375.65
80020	0.6329	-0.139	20.71	156.06	20.43	375.07
80021	1.4182	-0.4334	20.74	185.63	20.51	376.66
80022	1.2462	-0.7248	20.86	190.01	19.91	370.48
80023	0.2704	0.414	20.8	166.72	20.39	373.89
80024	-0.8928	0.0723	21.45	207.33	20.27	369.46
80025	-0.6063	0.3733	22.37	232.51	21.15	378.38
80026	-0.692	-0.9107	22.47	221.5	21.59	377.08
80027	-0.6623	0.6619	21.07	167.77	20.58	377.33
80028	0.6027	1.0934	20.71	180.19	20.32	377.5
80029	0.6203	0.1785	20.55	191.65	19.92	376.03
80030	-0.9277	-0.1429	22.16	228.29	21.18	379.98
80031	-1.533	-0.9303	23.5	292.51	21.94	376.18
80032	0.4656	0.2106	20.16	127.95	20.25	377.27
80033	0.4197	0.35	20.85	166.21	20.57	379.17
80034	0.8361	0.3975	22.41	250.12	21.42	381.88
80035	1.0491	0.0875	20.48	162.7	20.4	373.66
80036	0.2778	-0.8589	22.68	208.92	22.06	379.68
80037	0.0766	-1.0661	22.45	216.14	21.75	370.89
80038	-0.8967	-1.5328	23.06	250.24	22.06	380.17
80039	-0.158	-0.147	22.39	177.93	21.78	382.46
80040	-0.5332	0.5958	21.26	186.96	21.04	373.96
80041	-1.7278	0.8876	21.97	212.73	21.29	377.08
80042	-0.835	0.2879	21.84	158.67	21.27	383.73
80043	0.5225	0.1475	20.65	148.11	20.61	377.17
80044	0.6186	0.3114	20.14	165.17	19.88	377.95
80045	-0.3282	-1.2931	21.29	183.78	21.04	379.48
80046	-0.8079	0.4385	20.27	155.14	20.13	379.33
80047	-1.669	0.3985	20.97	225.94	20.07	363.27
80048	-1.2517	0.1168	20.79	220.38	20.04	364.43
80049	-1.1648	-0.7195	22.2	254.77	20.88	365.01
80050	0.1347	-0.1738	20.27	138.52	20.13	369.91
80051	-1.2101	0.4308	21.49	233.89	20.78	360.87
80052	-0.3529	0.3156	20.4	179.88	20.26	369.55
80053	-0.326	0.0018	22.02	243.98	21.01	370.84
80054	-0.5779	0.2951	21.81	190.44	21.07	370.01
80055	-1.1741	-0.1898	21.21	193.77	20.8	364.86
80056	-2.4378	-0.1356	21.19	227.39	19.81	361.56
80057	-4.13	0.136	21.83	318.3	18.99	347
80058	-1.0638	-0.4218	21.54	250.9	19.36	356.38
80059	-1.8948	-0.1592	22.66	256.5	20.47	357.13
80060	-1.3238	-0.2555	22.47	224.4	20.49	359.65
80061	-0.4706	0.2477	22.17	253.98	20.34	356.9
80062	-0.7243	-0.394	22.98	276.56	20.58	358.85
80063	-1.1484	-0.5344	22.51	274.89	19.5	346.84
80064	-0.8228	-0.0617	22.42	288.02	19.28	344.53
80065	-1.5739	-0.36	22.79	278.85	19.51	346.12
80066	-1.0156	-0.4959	23.19	296.87	20.33	347.47
80067	-1.1799	-0.2658	22.74	257.63	20.18	351.5
80068	-2.5689	-0.199	22.69	269.15	19.79	348.95
80069	-1.946	0.189	22.91	281.49	20.22	350.76
80070	-2.2678	0.1569	23.23	306.39	20.39	346.31
80071	-0.8731	0.0272	22.42	236.36	20.44	353.74
80072	0.7164	0.4183	22.34	220.4	21.09	370.78
80073	1.6087	0.4681	22.22	224.89	20.95	368.93
80074	-0.3197	0.4233	20.82	168.14	20.38	366.02
80075	-1.8358	1.0386	21.04	198.7	20.26	358.84
80076	-2.534	0.3244	21.15	200.03	20.07	362.5
80077	-2.5672	0.3303	22.4	248.62	20.57	355.04
80078	-2.3152	-0.2355	22.5	272.31	20.61	349.09
80079	-2.6239	0.0165	22.72	266.98	20.63	346.32
80080	-2.8359	0.8094	22.4	317.91	19.94	339.27
80081	-3.5301	0.8453	22.58	308.78	19.85	340.49
80082	-2.7824	1.239	22.55	300.57	20	341.17
80083	-2.6912	1.2074	23.51	311.43	21.21	345.87
80084	-1.408	0.7049	23.6	277.63	21.78	359.33
80085	-1.4818	0.9584	23.24	258.4	21.74	362.98
80086	-1.4425	0.8208	23.24	279.64	21.33	353.18
80087	-2.4185	0.4539	23.05	284.97	20.58	347.47
80088	-2.7568	0.8101	22.99	294.49	20.17	342.09
80089	-2.6433	0.7642	22.52	318.58	19.31	334.75
80090	-2.2827	0.9852	22.1	264.88	19.41	345.87
80091	-2.4541	0.6065	22.9	297.11	20.16	341.31
80092	-1.1824	0.4798	23.25	282.86	21.03	348.73
80093	-0.0751	0.7274	23.24	263.97	21.57	359.8
80094	1.6064	-0.8066	19.85	105.42	19.73	367.53
80095	0.6201	1.0542	20.4	119.42	19.38	370.42
80096	0.1161	-0.8901	20.44	161.58	19.97	365.63
80097	0.5264	-0.0639	21	217.43	19.28	358.85
80098	1.7857	0.0283	20.23	141.46	19.59	367.73
80099	0.3728	0.8216	20.99	243.91	19.95	360.84
80100	0.7407	-0.8129	20.42	136.92	20.08	370.02
80101	0.566	0.7837	19.95	178.9	19.02	357.76
80102	0.0777	0.1402	20.05	184.38	19.52	361.1
80103	-1.2483	1.1282	20.39	169.18	19.5	366.45
80104	-1.1866	0.8148	21.85	240.23	20.42	366.21
80105	0.0603	0.3981	22.13	224.33	20.94	368.78
80106	-0.0533	1.1978	20.79	174.91	20.14	369.43
80107	-0.6191	0.9296	21.05	187.58	20.27	367.59
80108	-0.8988	0.1831	21.35	164.56	20.58	379.81
80109	0.3318	0.4164	20.61	168.36	20.09	372.93
80110	0.4557	0.3173	20.02	142.9	19.85	375.67
80111	0.3762	0.6661	20.63	194.19	20.24	371.17
80112	-0.0322	-0.0285	21.25	200.75	20.65	375.29
80113	-0.2627	0.3772	20.28	163.48	19.79	373.37
80114	-1.9866	1.5326	21.55	252.44	20.07	365.71
80115	-2.8621	1.3624	22.11	240.45	20.17	371.07
80116	-2.7881	0.5268	21.87	244.26	19.47	362.08
80117	-2.0571	0.8152	21.4	227.85	19.16	359.7
80118	-1.4595	0.5304	22.02	259.04	19.17	353.8
80119	0.3475	0.2947	21.5	183.91	19.95	377.25
80120	0.345	-0.0995	20.43	146.88	19.67	377.81
80121	0.06	0.4512	20.46	169.24	19.79	373.04
80122	-2.0523	1.2165	21.32	205.74	19.82	374.1
80123	-1.154	1.6155	21.89	208.65	19.65	375.04
80124	-1.0903	1.2568	21.98	257.52	18.79	361.57
80125	0.1848	0.7132	22.1	203.41	20	375.33
80126	0.4155	-0.6402	19.2	112.28	18.86	374
80127	-0.5232	0.1784	19.65	121.13	19.21	374.22
80128	-1.6344	0.6821	20.77	205.33	20.19	370.06
80129	-0.3982	0.3127	21.59	197.44	20.58	379.95
80130	1.1411	-0.3272	18.91	116.07	18.8	376.54
80131	0.6892	1.1887	20.37	166.27	19.58	381.48
80132	-0.1862	0.6387	21.22	201.65	19.8	372.05
80133	0.5265	0.2127	21.36	184.35	19.72	371.64
80134	1.1676	-0.0259	21.87	205.63	20.48	375.41
80135	0.8969	0.0632	21.08	176.47	19.94	378.77
80136	0.6204	0.9768	21.06	204.29	19.48	367.5
80137	0.4766	1.2127	21.08	251.04	18.04	349.42
80138	-0.7446	0.6138	21.35	234.3	17.99	355.48
80139	0.4371	-0.4443	20.78	178.65	19.06	367.92
80140	0.3687	0.1444	20.87	169.24	19.62	372.16
80141	0.4574	0.0948	20.87	188.13	19.11	362.38
80142	0.3229	0.2024	21.73	216.85	19.72	364.35
80143	0.5179	0.63	20.37	151.8	19.02	371.13
80144	-0.335	0.714	21.46	214.56	19.03	358.08
80145	-0.1479	0.394	21.46	196	19.22	359.31
80146	-0.9356	0.8131	21.95	203.4	18.91	351.65
80147	-0.9185	1.2746	22.56	227.69	19.9	362.59
80148	-0.7862	0.2733	22.69	194.54	20.59	376.13
80149	1.0233	0.5414	21.56	176.26	20.58	378.26
80150	0.4331	0.1462	20.42	152.63	19.58	376.43
80151	-0.2995	0.8988	20.69	195.07	18.76	361.04
80152	-0.521	1.106	20.59	208.75	18.1	355.42
80153	-0.9622	1.1196	20.54	241.14	16.53	337.25
80154	-1.9959	0.9319	20.16	250.83	16.05	336.16
80155	-1.5105	0.9072	20.17	246.62	15.9	335.54
80156	-1.0199	0.9715	20.12	258.33	16.15	334.1
80157	-0.7298	0.8719	20.7	250.05	17	337.9
80158	0.8061	-0.0321	21.29	229.33	18.23	349.74
80159	0.7382	0.6052	21.28	201.88	19.16	362.34
80160	0.6165	0.911	20.47	159.53	18.76	365.92
80161	-0.0447	0.9114	20.21	216.07	16.67	339.51
80162	0.1177	0.5072	20.33	214.33	16.78	341.41
80163	0.1609	0.7161	19.81	192.59	16.95	342.82
80164	-0.1051	0.6839	20.27	224.46	16.86	344.86
80165	-0.5399	0.8932	20.64	223.59	16.66	342.02
80166	0.3563	0.5843	19.86	220.1	16.66	337.77
80167	-1.2131	1.2887	20.07	257.95	15.78	329.8
80168	-1.4531	1.2561	19.59	254.14	15.21	329.58
80169	-1.0753	1.2143	20.05	254.98	15.84	336.08
80170	-0.4015	0.9569	20.96	248.72	16.87	339.58
80171	-0.0921	1.4417	21	247.16	16.55	337.12
80172	-1.3386	1.7906	20.85	250.5	16.05	336.68
80173	-0.9318	1.2616	20.41	216.41	16.34	345.28
80174	-0.8547	1.3544	19.45	159.08	16.17	351.5
80175	-0.1888	1.5668	19.71	177.02	16.8	357.28
80176	-0.4315	1.5774	20.15	233.47	16.32	340.74
80177	-0.2462	1.2926	20.67	231.67	16.05	340.52
80178	-0.2182	0.7166	21.27	217.35	16.94	361.17
80179	-0.7188	0.8286	20.59	215.23	16.57	350.5
80180	-1.5175	1.1021	20.14	231.88	16.14	344.06
80181	-2.0956	1.1623	19.62	215.71	15.26	343.06
80182	-1.7388	1.0118	18.73	163.4	14.6	345.2
80183	-1.4801	1.1947	19.39	224.86	14.8	337.98
80184	-2.0364	1.0353	20.37	233.01	15.62	351.33
80185	-1.4407	1.5583	20.31	177.86	15.52	365.35
80186	-0.6757	1.9086	20.73	181.09	16.19	372.58
80187	-1.0038	0.8054	21.25	223.92	16.79	356.44
80188	1.2283	0.1473	19.05	111.18	17.52	381.02
80189	1.4705	1.0404	18.32	87.17	16.64	377.49
80190	0.5883	1.299	21.01	201.69	17.82	379.46
80191	0.2209	-0.5235	21.04	149.56	18.59	384.13
80192	0.6206	0.4455	20.21	138	18.44	387.89
80193	0.4198	0.33	20.12	136.11	18.29	384.9
80194	-0.6225	0.7396	20.38	160.19	18.31	385.38
80195	-0.8004	0.3962	22.08	195.82	18.56	380
80196	-0.7246	0.5313	21.32	148.46	19.14	384.64
80197	-1.0338	2.0378	21.25	183.89	17.5	376.23
80198	-1.0943	1.4109	21.23	244.46	16.42	350.15
80199	-0.6915	1.1549	21.16	251.26	16.79	341.19
80200	-1.0041	0.4667	20.7	257.21	16.25	337.38
80201	0.0336	1.0186	20.69	263.21	16.26	337.29
80202	-0.7725	1.1928	20.79	240	16.12	343.42
80203	-0.2063	0.448	21.55	266.43	17.21	340.95
80204	0.3764	0.8139	20.27	145.03	16.79	358.84
80205	-1.4745	1.4905	21.01	250.49	15.91	337.2
80206	-2.1474	1.7742	20.58	261.41	15.12	332.31
80207	-1.0826	1.0168	21.26	254.55	16.21	342.35
80208	-1.6044	1.5897	21.87	253.63	16.64	344.3
80209	-2.3705	1.1463	21.76	258.18	16.36	348.01
80210	-2.0931	1.3898	22.04	274.61	16.51	343.12
80211	0.218	0.7483	21.36	220.27	16.87	358.65
80212	0.623	1.3014	22.27	262.78	17.6	350.35
80213	1.1281	0.4681	21.95	199.53	18.37	371.55
80214	1.1716	0.0705	22.4	218	19.04	375.41
80215	0.5689	0.0345	22.76	237.95	19	371.06
80216	1.4185	0.3757	22.14	228.23	18.4	368.97
80217	0.0349	0.4705	21.13	201.19	17.94	370.17
80218	-0.8439	0.2262	19.86	139.09	17.13	370.36
80219	-1.5885	0.9805	22.16	257.72	17.49	364.37
80220	-1.5525	1.4	22.77	225.1	17.4	364.56
80221	-2.2391	1.1959	22.33	236.18	16.64	356.03
80222	-1.2966	1.4082	22.3	259.2	16.97	366.88
80223	-1.6859	1.6331	21.92	214.83	16.44	363.77
80224	-0.4376	0.2542	22.06	227.59	17.38	357.72
80225	0.7234	0.2109	22.83	214.02	18.98	372.93
80226	0.7918	0.9215	22.39	215.82	19.06	373.29
80227	0.3078	0.2952	23.31	257.54	19.21	360.15
80228	-0.1633	-0.3862	23.35	216.21	19.57	373.74
80229	0.97	0.3226	23.19	211.4	19.69	377.63
80230	0.0182	0.6224	22.44	198.45	18.93	377.24
80231	-0.0463	0.4086	23.79	228.36	19.88	381.94
80232	-0.4548	0.85	23.67	243.03	19.19	374.88
80233	-0.2123	1.2052	24.02	303.71	18.28	349.66
80234	0.527	0.1687	23.68	270.74	18.23	365.07
80235	1.0041	0.8867	23.61	234.55	19.09	380.79
80236	-0.3947	1.0122	24.52	255.16	19.13	377.09
80237	-0.7014	0.478	24.48	230.49	18.56	377.45
80238	0.0593	-0.8919	21.81	211.4	18.76	378.22
80239	-0.8457	-0.1431	20.98	171.03	18.59	376.84
80240	0.6983	-0.8467	20.69	115.73	19.31	383.97
80241	-0.8697	-0.5115	21.66	199.7	19.34	380.26
80242	-0.8045	0.7753	23.43	261.15	19.04	369.08
80243	0.13	0.2141	23.67	278.49	18.74	369.08
80244	0.9281	0.3786	23.42	218.11	19.5	379.26
80245	1.3996	-0.7915	20.98	162.21	19.29	378.2
80246	0.8334	-0.6218	22.28	232.68	18.97	382.03
80247	1.1044	-0.7799	21.75	221.36	18.69	380.85
80248	0.594	0.4319	22.39	253.04	18.73	378.33
80249	0.4933	-0.1899	22.2	239.85	18.84	370.96
80250	1.0143	-0.3052	22.49	229.46	18.98	375.85
80251	1.348	-0.5266	23.06	252.27	19.19	374.4
80252	0.9071	-0.431	22.69	253.77	18.29	377.08
80253	0.5802	-0.8773	22.02	219.51	18.32	378.6
80254	-0.1132	-1.0142	22.75	237.94	18.76	375.01
80255	1.3381	0.0141	19.49	137.2	18.45	378.63
80256	-0.2312	1.0009	19.87	162.82	16.42	369.36
80257	-1.7709	-0.0616	21.83	239.32	18.28	371.58
80258	-1.5059	-0.6535	23.15	214.48	18.72	379.4
80259	0.0408	-0.1062	22.85	206.35	18.95	382.66
80260	-0.3002	-0.3472	23.18	261.02	18.28	373.93
80261	0.6945	0.2233	23.49	235.87	18.79	377.35
80262	0.2698	-0.1613	24.29	256.28	19.67	376.12
80263	1.2914	-0.3023	23.04	208.29	19.58	378.05
80264	1.7015	-0.0496	23.71	276.02	18.93	374.48
80265	2.8046	-0.5417	21.02	166.42	17.35	375.72
80266	1.4842	-0.46	22.96	255.97	18.6	376.52
80267	2.3499	0.0962	20.23	112.29	18.79	379.71
80268	1.1558	0.3468	21.86	189.92	18.46	378.48
80269	0.2876	-0.3029	23.25	268.86	20.46	375.51
80270	0.9203	-0.4242	20.93	179.4	19.98	372.41
80271	-0.4084	-0.0284	22.46	214.93	20.01	374.97
80272	-1.3594	-0.2668	23.38	229.41	19.99	364.11
80273	-0.2687	0.1621	23.04	225.32	20.26	367.95
80274	0.8509	1.067	23.72	285.7	19.11	358.96
80275	1.1706	0.1602	22.71	194.48	19.86	374.72
80276	-0.1883	-0.3816	22.37	194.79	20.44	370.25
80277	0.2343	0.0315	22.35	193.89	20.73	377.04
80278	-0.6131	0.5599	20.18	163.48	19.19	371.95
80279	1.2811	-0.4089	19.09	148.1	18.88	371.55
80280	-0.1239	0.3215	21.84	203.53	19.09	376.11
80281	1.0279	-0.0612	19.7	133.09	18.88	370.6
80282	0.358	0.567	19.82	152.2	19.26	367.44
80283	-0.4052	0.4543	21.92	239.92	20.61	363.63
80284	1.0124	-0.8057	20.7	157.12	20.19	378.48
80285	0.3881	0.3323	20.37	180.48	19.47	368.3
80286	1.0218	-0.9432	20.26	131.82	19.81	373.38
80287	0.6293	-0.3035	21.83	262.97	19.77	368.99
80288	3.145	-0.2735	19.21	120.46	19.13	374.71
80289	2.5898	-0.0721	21.45	242.47	18.67	365.52
80290	2.8029	0.1004	19.9	157.11	18.87	371.36
80291	1.8014	-0.9319	21.37	208.35	19.11	372.57
80292	1.4467	-0.2195	19.97	145.27	19.13	372.61
80293	0.7114	-0.265	21.87	215.04	20.36	373.85
80294	-0.0235	0.4899	19.7	111.6	19.71	375.75
80295	-0.8918	-0.6451	21.09	222.12	20.22	369.84
80296	-1.4891	-0.6733	21.93	227.25	20.54	366.87
80297	-0.9553	-0.4497	23.37	250.39	21.3	373.59
80298	0.3762	-0.9984	24.73	268.08	21.84	375.96
80299	1.1602	-0.0416	23.08	219.35	21.63	378.48
80300	-0.0133	0.6835	21	144.03	20.9	373.43
80301	-1.0931	-0.3348	21.46	147.51	20.65	384.46
