Depth	
-215.5	1.00E-05
-216	1.00E-05
-216.5	1.00E-05
-217	1.00E-05
-217.5	1.00E-05
-218	1.00E-05
-218.5	1.00E-05
-219	1.00E-05
-219.5	1.00E-05
-220	1.00E-05
-220.5	1.00E-05
-221	1.00E-05
-221.5	1.00E-05
-222	1.00E-05
-222.5	1.00E-05
-223	1.00E-05
-223.5	1.00E-05
-224	1.00E-05
-224.5	1.00E-05
-225	1.00E-05
-225.5	1.00E-05
-226	1.00E-05
-226.5	1.00E-05
-227	1.00E-05
-227.5	1.00E-05
-228	1.00E-05
-228.5	1.00E-05
-229	1.00E-05
-229.5	1.00E-05
-230	1.00E-05
-230.5	1.00E-05
-231	1.00E-05
-231.5	1.00E-05
-232	1.00E-05
-232.5	1.00E-05
-233	1.00E-05
-233.5	1.00E-05
-234	1.00E-05
-234.5	1.00E-05
-235	1.00E-05
-235.5	1.00E-05
-236	1.00E-05
-236.5	1.00E-05
-237	1.00E-05
-237.5	1.00E-05
-238	1.00E-05
-238.5	1.00E-05
-239	1.00E-05
-239.5	1.00E-05
-240	1.00E-05
-240.5	1.00E-05
-241	1.00E-05
-241.5	1.00E-05
-242	1.00E-05
-242.5	1.00E-05
-243	1.00E-05
-243.5	1.00E-05
-244	1.00E-05
-244.5	1.00E-05
-245	1.00E-05
-245.5	1.00E-05
-246	1.00E-05
-246.5	1.00E-05
-247	1.00E-05
-247.5	1.00E-05
-248	1.00E-05
-248.5	1.00E-05
-249	1.00E-05
-249.5	1.00E-05
-250	1.00E-05
-250.5	1.00E-05
-251	1.00E-05
-251.5	1.00E-05
-252	1.00E-05
-252.5	1.00E-05
-253	1.00E-05
-253.5	1.00E-05
-254	1.00E-05
-254.5	1.00E-05
-255	1.00E-05
-255.5	1.00E-05
-256	1.00E-05
-256.5	1.00E-05
-257	1.00E-05
-257.5	1.00E-05
-258	1.00E-05
-258.5	1.00E-05
-259	1.00E-05
-259.5	1.00E-05
-260	1.00E-05
-260.5	1.00E-05
-261	1.00E-05
-261.5	1.00E-05
-262	1.00E-05
-262.5	1.00E-05
-263	1.00E-05
-263.5	1.00E-05
-264	1.00E-05
-264.5	1.00E-05
-265	1.00E-05
-265.5	1.00E-05
-266	1.00E-05
-266.5	1.00E-05
-267	1.00E-05
-267.5	1.00E-05
-268	1.00E-05
-268.5	1.00E-05
-269	1.00E-05
-269.5	1.00E-05
-270	1.00E-05
-270.5	1.00E-05
-271	1.00E-05
-271.5	1.00E-05
-272	1.00E-05
-272.5	1.00E-05
-273	1.00E-05
-273.5	1.00E-05
-274	1.00E-05
-274.5	1.00E-05
-275	1.00E-05
-275.5	1.00E-05
-276	1.00E-05
-276.5	1.00E-05
-277	1.00E-05
-277.5	1.00E-05
-278	1.00E-05
-278.5	1.00E-05
-279	1.00E-05
-279.5	1.00E-05
-280	1.00E-05
-280.5	1.00E-05
-281	1.00E-05
-281.5	1.00E-05
-282	1.00E-05
-282.5	1.00E-05
-283	1.00E-05
-283.5	1.00E-05
-284	1.00E-05
-284.5	1.00E-05
-285	1.00E-05
-285.5	1.00E-05
-286	1.00E-05
-286.5	1.00E-05
-287	1.00E-05
-287.5	1.00E-05
-288	1.00E-05
-288.5	1.00E-05
-289	1.00E-05
-289.5	1.00E-05
-290	1.00E-05
-290.5	1.00E-05
-291	1.00E-05
-291.5	1.00E-05
-292	1.00E-05
-292.5	1.00E-05
-293	1.00E-05
-293.5	1.00E-05
-294	1.00E-05
-294.5	1.00E-05
-295	1.00E-05
-295.5	1.00E-05
-296	1.00E-05
-296.5	1.00E-05
-297	1.00E-05
-297.5	1.00E-05
-298	1.00E-05
-298.5	1.00E-05
-299	1.00E-05
-299.5	1.00E-05
-300	1.00E-05
-300.5	1.00E-05
-301	1.00E-05
-301.5	1.00E-05
-302	1.00E-05
-302.5	1.00E-05
-303	1.00E-05
-303.5	1.00E-05
-304	1.00E-05
-304.5	1.00E-05
-305	1.00E-05
-305.5	1.00E-05
-306	1.00E-05
-306.5	1.00E-05
-307	1.00E-05
-307.5	1.00E-05
-308	1.00E-05
-308.5	1.00E-05
-309	1.00E-05
-309.5	1.00E-05
-310	1.00E-05
-310.5	1.00E-05
-311	1.00E-05
-311.5	1.00E-05
-312	1.00E-05
-312.5	1.00E-05
-313	1.00E-05
-313.5	1.00E-05
-314	1.00E-05
-314.5	1.00E-05
-315	1.00E-05
-315.5	1.00E-05
-316	1.00E-05
-316.5	1.00E-05
-317	1.00E-05
-317.5	1.00E-05
-318	1.00E-05
-318.5	1.00E-05
-319	1.00E-05
-319.5	1.00E-05
-320	1.00E-05
-320.5	1.00E-05
-321	1.00E-05
-321.5	1.00E-05
-322	1.00E-05
-322.5	1.00E-05
-323	1.00E-05
-323.5	1.00E-05
-324	1.00E-05
-324.5	1.00E-05
-325	1.00E-05
-325.5	1.00E-05
-326	1.00E-05
-326.5	1.00E-05
-327	1.00E-05
-327.5	1.00E-05
-328	1.00E-05
-328.5	1.00E-05
-329	1.00E-05
-329.5	1.00E-05
-330	1.00E-05
-330.5	1.00E-05
-331	1.00E-05
-331.5	1.00E-05
-332	1.00E-05
-332.5	1.00E-05
-333	1.00E-05
-333.5	1.00E-05
